scenario,time,unpooled_ts_mean_regret,pooled_ts_mean_regret,eb_ts_mean_regret
high_hetero_long_low_noise,43,0.05788763,0.61752017,0.34558752
high_hetero_long_low_noise,44,0.05714079,0.60532253,0.34105991
high_hetero_long_low_noise,45,0.05750032,0.61023487,0.33205792
high_hetero_long_low_noise,46,0.05559813,0.61351623,0.32708433
high_hetero_long_low_noise,47,0.05452841,0.61697926,0.32368624
high_hetero_long_low_noise,48,0.05138952,0.61188526,0.32001295
high_hetero_long_low_noise,49,0.05305072,0.61013498,0.31429915
high_hetero_long_low_noise,50,0.05212644,0.61227381,0.31201255
high_hetero_long_low_noise,51,0.05041431,0.61722077,0.30884828
high_hetero_long_low_noise,52,0.04762364,0.61778092,0.30245998
high_hetero_long_low_noise,53,0.05063516,0.61849716,0.29954557
high_hetero_long_low_noise,54,0.04806690,0.61365324,0.29869823
high_hetero_long_low_noise,55,0.04631587,0.61099804,0.29528965
high_hetero_long_low_noise,56,0.04524153,0.61694085,0.28717025
high_hetero_long_low_noise,57,0.04730752,0.61475752,0.28574919
high_hetero_long_low_noise,58,0.04603126,0.60828778,0.28405529
high_hetero_long_low_noise,59,0.04599654,0.61099290,0.27912917
high_hetero_long_low_noise,60,0.04529899,0.60681213,0.27854251
high_hetero_long_low_noise,61,0.04254993,0.61082870,0.27521311
high_hetero_long_low_noise,62,0.04136173,0.61136909,0.27218289
high_hetero_long_low_noise,63,0.04191138,0.60703097,0.26951445
high_hetero_long_low_noise,64,0.03994634,0.60752801,0.26636118
high_hetero_long_low_noise,65,0.04014354,0.61116129,0.26610562
high_hetero_long_low_noise,66,0.04067637,0.61076186,0.26426156
high_hetero_long_low_noise,67,0.03883757,0.60975334,0.25947512
high_hetero_long_low_noise,68,0.03768406,0.61113908,0.25887057
high_hetero_long_low_noise,69,0.04073333,0.61085458,0.25587453
high_hetero_long_low_noise,70,0.03812602,0.61293319,0.25112433
high_hetero_long_low_noise,71,0.03885076,0.60622130,0.25252224
high_hetero_long_low_noise,72,0.03677637,0.60524120,0.24791313
high_hetero_long_low_noise,73,0.03820628,0.61046447,0.24636635
high_hetero_long_low_noise,74,0.03730839,0.61073706,0.24074379
high_hetero_long_low_noise,75,0.03680254,0.60386738,0.24037367
high_hetero_long_low_noise,76,0.03661778,0.60406966,0.23697826
high_hetero_long_low_noise,77,0.03803805,0.60303719,0.23315343
high_hetero_long_low_noise,78,0.03519382,0.59948089,0.22812673
high_hetero_long_low_noise,79,0.03451222,0.60868783,0.22811196
high_hetero_long_low_noise,80,0.03475245,0.60377304,0.22850121
high_hetero_long_low_noise,81,0.03553143,0.60245299,0.22558622
high_hetero_long_low_noise,82,0.03577746,0.60947692,0.22395456
high_hetero_long_low_noise,83,0.03233398,0.60183405,0.21854537
high_hetero_long_low_noise,84,0.03260147,0.61196791,0.21579865
high_hetero_long_low_noise,85,0.03280912,0.60312606,0.21294456
high_hetero_long_low_noise,86,0.03191532,0.60046909,0.21430824
high_hetero_long_low_noise,87,0.03166144,0.60335009,0.20848913
high_hetero_long_low_noise,88,0.03134599,0.60113469,0.20885022
high_hetero_long_low_noise,89,0.03107923,0.60483363,0.20885401
high_hetero_long_low_noise,90,0.03087762,0.60494868,0.20623669
high_hetero_long_low_noise,91,0.03093790,0.60845910,0.20540893
high_hetero_long_low_noise,92,0.03200559,0.61270633,0.20460501
high_hetero_long_low_noise,93,0.02978371,0.60812186,0.20234345
high_hetero_long_low_noise,94,0.02981709,0.60609687,0.20324022
high_hetero_long_low_noise,95,0.03050334,0.60583463,0.19863098
high_hetero_long_low_noise,96,0.02926810,0.60440848,0.19801218
high_hetero_long_low_noise,97,0.03002804,0.60663688,0.19615790
high_hetero_long_low_noise,98,0.02728062,0.60581853,0.19014367
high_hetero_long_low_noise,99,0.02850092,0.60797083,0.18846924
high_hetero_long_low_noise,100,0.02962472,0.60658114,0.18465252
high_hetero_long_low_noise,101,0.02699704,0.61165400,0.18527088
high_hetero_long_low_noise,102,0.02877891,0.60782805,0.18420691
high_hetero_long_low_noise,103,0.02784393,0.60286651,0.18514027
high_hetero_long_low_noise,104,0.02649024,0.60500022,0.18211010
high_hetero_long_low_noise,105,0.02695311,0.60478381,0.17962550
high_hetero_long_low_noise,106,0.02755631,0.60590670,0.17920961
high_hetero_long_low_noise,107,0.02563128,0.60658852,0.17629490
high_hetero_long_low_noise,108,0.02646479,0.61447032,0.17666211
high_hetero_long_low_noise,109,0.02469362,0.61041332,0.17520136
high_hetero_long_low_noise,110,0.02645296,0.60520696,0.17353225
high_hetero_long_low_noise,111,0.02600548,0.61405824,0.17006015
high_hetero_long_low_noise,112,0.02652792,0.60644294,0.17043692
high_hetero_long_low_noise,113,0.02580082,0.60744208,0.16915738
high_hetero_long_low_noise,114,0.02451918,0.60146300,0.17025114
high_hetero_long_low_noise,115,0.02525193,0.60060441,0.16977931
high_hetero_long_low_noise,116,0.02492289,0.60219666,0.17052232
high_hetero_long_low_noise,117,0.02453465,0.59684076,0.17048003
high_hetero_long_low_noise,118,0.02542763,0.59990718,0.17069163
high_hetero_long_low_noise,119,0.02414086,0.59860863,0.16746574
high_hetero_long_low_noise,120,0.02472664,0.59974436,0.16685945
high_hetero_long_low_noise,121,0.02449971,0.60628471,0.16364007
high_hetero_long_low_noise,122,0.02422512,0.60927171,0.16529650
high_hetero_long_low_noise,123,0.02245908,0.60505448,0.16541794
high_hetero_long_low_noise,124,0.02381961,0.60263082,0.16338869
high_hetero_long_low_noise,125,0.02383353,0.60374884,0.16306454
high_hetero_long_low_noise,126,0.02336080,0.60607800,0.15763148
high_hetero_long_low_noise,127,0.02380033,0.60320236,0.15773802
high_hetero_long_low_noise,128,0.02193842,0.60278374,0.15468246
high_hetero_long_low_noise,129,0.02227736,0.60993695,0.15482782
high_hetero_long_low_noise,130,0.02313815,0.60963480,0.15473965
high_hetero_long_low_noise,131,0.02199831,0.61331661,0.15320896
high_hetero_long_low_noise,132,0.02361298,0.61251531,0.15405234
high_hetero_long_low_noise,133,0.02201923,0.61202933,0.15379078
high_hetero_long_low_noise,134,0.02176279,0.60751971,0.15259491
high_hetero_long_low_noise,135,0.02285097,0.60565359,0.15157714
high_hetero_long_low_noise,136,0.02182096,0.60689142,0.14982159
high_hetero_long_low_noise,137,0.02158511,0.60682370,0.14927640
high_hetero_long_low_noise,138,0.02253994,0.61343865,0.15162002
high_hetero_long_low_noise,139,0.02128189,0.61044526,0.15116701
high_hetero_long_low_noise,140,0.02082566,0.60714008,0.14940459
high_hetero_long_low_noise,141,0.02081821,0.60780402,0.14626048
high_hetero_long_low_noise,142,0.02137933,0.60208450,0.14533305
high_hetero_long_low_noise,143,0.02073559,0.60263168,0.14583805
high_hetero_long_low_noise,144,0.02062453,0.59960644,0.14365359
high_hetero_long_low_noise,145,0.01990044,0.60683458,0.13992703
high_hetero_long_low_noise,146,0.01992357,0.60202115,0.13889802
high_hetero_long_low_noise,147,0.02069886,0.60551768,0.13989265
high_hetero_long_low_noise,148,0.01919740,0.60377503,0.13922656
high_hetero_long_low_noise,149,0.02002936,0.60599084,0.14023029
high_hetero_long_low_noise,150,0.01965672,0.60794203,0.13987302
high_hetero_long_low_noise,151,0.02015292,0.59637555,0.13921017
high_hetero_long_low_noise,152,0.02011509,0.60659558,0.13716962
high_hetero_long_low_noise,153,0.02042974,0.60008568,0.13692774
high_hetero_long_low_noise,154,0.01868706,0.60571133,0.13493819
high_hetero_long_low_noise,155,0.01950207,0.60630248,0.13534468
high_hetero_long_low_noise,156,0.01900705,0.59989115,0.13266650
high_hetero_long_low_noise,157,0.01824800,0.61083453,0.13406526
high_hetero_long_low_noise,158,0.01870530,0.59977096,0.13347930
high_hetero_long_low_noise,159,0.01933995,0.60112518,0.13318869
high_hetero_long_low_noise,160,0.01730292,0.60486718,0.13203716
high_hetero_long_low_noise,161,0.01725367,0.59349450,0.12939873
high_hetero_long_low_noise,162,0.01903125,0.60184863,0.13134116
high_hetero_long_low_noise,163,0.01786499,0.59380224,0.13077852
high_hetero_long_low_noise,164,0.01848448,0.60182697,0.13001199
high_hetero_long_low_noise,165,0.01838914,0.60004695,0.12941907
high_hetero_long_low_noise,166,0.01836123,0.60379363,0.12830104
high_hetero_long_low_noise,167,0.01818115,0.60261811,0.12917665
high_hetero_long_low_noise,168,0.01747616,0.59973110,0.12953749
high_hetero_long_low_noise,169,0.01748898,0.60661500,0.13045891
high_hetero_long_low_noise,170,0.01711893,0.61392670,0.13085028
high_hetero_long_low_noise,171,0.01903712,0.60747839,0.13211584
high_hetero_long_low_noise,172,0.01617397,0.60704249,0.13220833
high_hetero_long_low_noise,173,0.01799203,0.60270379,0.13088605
high_hetero_long_low_noise,174,0.01670147,0.60364164,0.12738105
high_hetero_long_low_noise,175,0.01691070,0.60472958,0.12629701
high_hetero_long_low_noise,176,0.01617654,0.60176215,0.12530862
high_hetero_long_low_noise,177,0.01706516,0.60104040,0.12562066
high_hetero_long_low_noise,178,0.01713161,0.60418838,0.12413916
high_hetero_long_low_noise,179,0.01695783,0.60550299,0.12690515
high_hetero_long_low_noise,180,0.01744841,0.60082565,0.12621867
high_hetero_long_low_noise,181,0.01688462,0.60549726,0.12397332
high_hetero_long_low_noise,182,0.01713540,0.60198767,0.12505199
high_hetero_long_low_noise,183,0.01704244,0.60091996,0.12634369
high_hetero_long_low_noise,184,0.01603141,0.60823708,0.12250405
high_hetero_long_low_noise,185,0.01658149,0.60684061,0.12123492
high_hetero_long_low_noise,186,0.01635565,0.60428142,0.12417961
high_hetero_long_low_noise,187,0.01662046,0.60666022,0.12342735
high_hetero_long_low_noise,188,0.01725908,0.60067760,0.12304605
high_hetero_long_low_noise,189,0.01683088,0.60092553,0.12372108
high_hetero_long_low_noise,190,0.01621111,0.60045310,0.12157802
high_hetero_long_low_noise,191,0.01643278,0.59835545,0.12176060
high_hetero_long_low_noise,192,0.01569707,0.60309754,0.11982402
high_hetero_long_low_noise,193,0.01654524,0.59945346,0.11982085
high_hetero_long_low_noise,194,0.01479550,0.60081630,0.11824493
high_hetero_long_low_noise,195,0.01583579,0.60151122,0.11817700
high_hetero_long_low_noise,196,0.01543361,0.60536166,0.11778466
high_hetero_long_low_noise,197,0.01491347,0.60900681,0.11789158
high_hetero_long_low_noise,198,0.01443390,0.60465977,0.11702714
high_hetero_long_low_noise,199,0.01583641,0.60365012,0.11829211
high_hetero_long_low_noise,200,0.01556907,0.59615475,0.11760795
mid_hetero_very_short_high_noise,1,0.31111332,0.30964300,0.31111332
mid_hetero_very_short_high_noise,2,0.28308062,0.21533778,0.16563100
mid_hetero_very_short_high_noise,3,0.26153478,0.15502294,0.14150865
mid_hetero_very_short_high_noise,4,0.24999469,0.15129158,0.16346733
mid_hetero_very_short_high_noise,5,0.24170196,0.15984217,0.18978700
mid_hetero_very_short_high_noise,6,0.23857548,0.17594903,0.21593716
mid_hetero_very_short_high_noise,7,0.23827776,0.19337995,0.23991068
mid_hetero_very_short_high_noise,8,0.23633055,0.20732902,0.26135130
mid_hetero_very_short_high_noise,9,0.23299800,0.21942917,0.27942280
mid_hetero_very_short_high_noise,10,0.23312905,0.22673308,0.29299331
mid_hetero_very_short_high_noise,11,0.23371227,0.23440883,0.30547690
mid_hetero_very_short_high_noise,12,0.23075410,0.23714248,0.31469675
mid_hetero_very_short_high_noise,13,0.22936488,0.24081540,0.32247134
mid_hetero_very_short_high_noise,14,0.22830931,0.24519988,0.32781504
mid_hetero_very_short_high_noise,15,0.22561925,0.24441642,0.33269556
mid_hetero_very_short_high_noise,16,0.22191722,0.24605181,0.33639580
mid_hetero_very_short_high_noise,17,0.21939214,0.24539059,0.33912602
mid_hetero_very_short_high_noise,18,0.21880771,0.24518864,0.34148662
mid_hetero_very_short_high_noise,19,0.21801870,0.24618979,0.34362887
mid_hetero_very_short_high_noise,20,0.21453295,0.24705600,0.34332364
