conjecture,run,T,c,s,mean_tau_counterfactual,sd_tau_counterfactual,frac_action1_counterfactual,n_actual_context,mean_tau_actual,sd_tau_actual,frac_action1_actual,obs_count,obs_freq,frac_action1_observed,regret_always1_observed,regret_always0_observed
conj1,5,11,0,0,0.325274,0.961908,0.6,56,0.367865,0.906464,0.589286,303,0.275455,0.574257,0.217744,0.564662
conj1,5,11,0,1,0.590797,1.30501,0.66,56,0.533054,1.28305,0.625,313,0.284545,0.616613,0.297317,0.78972
conj1,5,11,1,0,0.498062,1.34571,0.64,44,0.472412,1.28548,0.636364,235,0.213636,0.608511,0.351305,0.792416
conj1,5,11,1,1,0.763585,1.57199,0.72,44,0.865633,1.49622,0.75,249,0.226364,0.751004,0.295279,1.23446
conj1,6,11,0,0,0.466788,1.02029,0.66,37,0.362796,0.993334,0.594595,207,0.188182,0.603865,0.225124,0.524658
conj1,6,11,0,1,0.663326,1.56662,0.64,37,0.499083,1.68073,0.594595,200,0.181818,0.62,0.464117,1.08472
conj1,6,11,1,0,0.533883,1.38563,0.68,63,0.601825,1.44212,0.730159,362,0.329091,0.712707,0.319955,0.840398
conj1,6,11,1,1,0.730421,1.66352,0.68,63,0.833749,1.71055,0.698413,331,0.300909,0.70997,0.279523,1.19609
conj1,7,11,0,0,0.373589,1.05678,0.63,54,0.402492,1.12551,0.592593,287,0.260909,0.599303,0.253433,0.675579
conj1,7,11,0,1,0.591738,1.51189,0.66,54,0.620309,1.48299,0.666667,307,0.279091,0.641694,0.336828,0.912841
conj1,7,11,1,0,0.40273,1.55963,0.61,46,0.379875,1.46615,0.652174,263,0.239091,0.673004,0.398822,0.785143
conj1,7,11,1,1,0.620879,1.92384,0.68,46,0.598412,1.97015,0.652174,243,0.220909,0.633745,0.530169,1.18257
conj1,8,11,0,0,0.41135,0.963487,0.68,48,0.446562,0.976102,0.666667,287,0.260909,0.658537,0.221682,0.632625
conj1,8,11,0,1,0.594036,1.38516,0.67,48,0.527997,1.4404,0.666667,241,0.219091,0.676349,0.334935,0.903615
conj1,8,11,1,0,0.588218,1.39861,0.66,52,0.552133,1.62792,0.596154,279,0.253636,0.620072,0.395468,0.985875
conj1,8,11,1,1,0.770904,1.77659,0.64,52,0.828282,1.96464,0.634615,293,0.266364,0.614334,0.392164,1.21766
conj1,9,11,0,0,0.434966,1.02697,0.65,63,0.412754,1.11306,0.650794,346,0.314545,0.67341,0.260003,0.723727
conj1,9,11,0,1,0.598525,1.57453,0.69,63,0.549749,1.58975,0.68254,347,0.315455,0.67147,0.4271,0.923227
conj1,9,11,1,0,0.6067,1.4172,0.73,37,0.774341,1.2638,0.783784,206,0.187273,0.747573,0.261105,0.980416
conj1,9,11,1,1,0.770259,1.90771,0.66,37,0.983132,1.77741,0.72973,201,0.182727,0.751244,0.297742,1.35339
