n,mu2,tau,sigma,t,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb
50,0,0.1,0.1,98,0.62450807,0.0037173972,4.8779104,0.03534877,1.0171911,0.017056271
50,0,0.1,0.1,99,0.62675615,0.0037359649,4.9265901,0.035708455,1.0260339,0.017228316
50,0,0.1,0.1,100,0.62873717,0.0037481017,4.9753001,0.036068565,1.0348723,0.01740049
50,0,0.1,0.1,101,0.63077166,0.0037628111,5.0240686,0.036419164,1.0437102,0.01757273
50,0,0.1,0.1,102,0.63284829,0.003772524,5.0727514,0.036776337,1.0525467,0.017745062
50,0,0.1,0.1,103,0.63474168,0.0037873441,5.121558,0.037132543,1.061376,0.017917262
50,0,0.1,0.1,104,0.6367878,0.0038044478,5.1702952,0.037491664,1.0702055,0.01808951
50,0,0.1,0.1,105,0.63882155,0.0038179061,5.2190948,0.03784636,1.0790363,0.018261974
50,0,0.1,0.1,106,0.64072194,0.0038377458,5.2678273,0.038200669,1.0878666,0.018434353
50,0,0.1,0.1,107,0.64261414,0.0038485254,5.3164735,0.038557048,1.0966954,0.018606546
50,0,0.1,0.1,108,0.64455745,0.0038661867,5.3652863,0.038909764,1.1055233,0.01877886
50,0,0.1,0.1,109,0.64636845,0.0038836314,5.4139552,0.039269964,1.1143365,0.018950675
50,0,0.1,0.1,110,0.64815788,0.0038971848,5.4625827,0.039628885,1.123148,0.019122416
50,0,0.1,0.1,111,0.65015284,0.0039130724,5.5112274,0.03998931,1.1319626,0.019294123
50,0,0.1,0.1,112,0.65202794,0.0039211961,5.5598138,0.040348357,1.1407701,0.019466107
50,0,0.1,0.1,113,0.65388638,0.0039364676,5.6084996,0.040705971,1.1495734,0.019637927
50,0,0.1,0.1,114,0.65560661,0.0039505375,5.6571112,0.041062008,1.1583772,0.019809945
50,0,0.1,0.1,115,0.6574354,0.0039652857,5.7057344,0.041419304,1.167193,0.019981544
50,0,0.1,0.1,116,0.65919442,0.0039814717,5.7545197,0.041774896,1.1759915,0.02015357
50,0,0.1,0.1,117,0.66093117,0.0039954947,5.8031632,0.042133036,1.1847833,0.020325447
50,0,0.1,0.1,118,0.66277912,0.0040082208,5.851763,0.042491398,1.1935698,0.020497249
50,0,0.1,0.1,119,0.66452266,0.0040141735,5.9003982,0.042847403,1.2023448,0.020668708
50,0,0.1,0.1,120,0.66630758,0.0040308695,5.9490376,0.043203534,1.2111192,0.020840181
50,0,0.1,0.1,121,0.66801229,0.0040447188,5.9976346,0.043559152,1.2198961,0.021011587
50,0,0.1,0.1,122,0.66974281,0.004059552,6.0461901,0.043918588,1.22867,0.021183221
50,0,0.1,0.1,123,0.67149623,0.0040724094,6.0948011,0.044274109,1.2374433,0.021354693
50,0,0.1,0.1,124,0.6731553,0.0040854581,6.1434633,0.044634542,1.2462115,0.021525823
50,0,0.1,0.1,125,0.6748614,0.0040977304,6.1920702,0.044986176,1.2549827,0.021697318
50,0,0.1,0.1,126,0.67654838,0.0041130527,6.240647,0.045344471,1.2637547,0.021868834
50,0,0.1,0.1,127,0.67820802,0.0041266039,6.289144,0.045700885,1.272528,0.02204047
50,0,0.1,0.1,128,0.67992733,0.0041358029,6.33778,0.046055682,1.2813002,0.022212191
50,0,0.1,0.1,129,0.68155495,0.0041465391,6.3862691,0.046411432,1.2900782,0.02238384
50,0,0.1,0.1,130,0.68309619,0.0041606777,6.4348277,0.046768064,1.2988518,0.022555579
50,0,0.1,0.1,131,0.68475576,0.0041747104,6.4835774,0.047118045,1.3076219,0.02272726
50,0,0.1,0.1,132,0.68641781,0.0041875373,6.5320911,0.047470931,1.3163925,0.022899006
50,0,0.1,0.1,133,0.68801255,0.0042030322,6.5806708,0.047827154,1.3251574,0.02307084
50,0,0.1,0.1,134,0.68962141,0.0042189242,6.6291912,0.048183583,1.3339176,0.023242678
50,0,0.1,0.1,135,0.69123979,0.0042324548,6.6778005,0.0485416,1.3426749,0.02341432
50,0,0.1,0.1,136,0.6928037,0.0042446476,6.7262739,0.048895019,1.3514354,0.023585792
50,0,0.1,0.1,137,0.69431032,0.004259439,6.7747784,0.049251915,1.3601933,0.023757466
50,0,0.1,0.1,138,0.69591028,0.0042696277,6.8232976,0.049606101,1.3689514,0.02392914
50,0,0.1,0.1,139,0.69753958,0.0042825248,6.8717877,0.049961086,1.3777021,0.024100679
50,0,0.1,0.1,140,0.69913269,0.0042973347,6.9203152,0.05031695,1.3864531,0.024272367
50,0,0.1,0.1,141,0.7006869,0.004311203,6.9688681,0.05067504,1.3952048,0.024444136
50,0,0.1,0.1,142,0.70230378,0.0043194101,7.0175099,0.05103221,1.4039486,0.02461577
50,0,0.1,0.1,143,0.70385749,0.004332563,7.0660642,0.051389458,1.4126924,0.024787202
50,0,0.1,0.1,144,0.70533148,0.004345492,7.1146489,0.051746901,1.421437,0.024958928
50,0,0.1,0.1,145,0.70685346,0.0043581666,7.1633203,0.052103185,1.4301825,0.025130571
50,0,0.1,0.1,146,0.70826453,0.004368403,7.2118395,0.052460029,1.4389284,0.025302706
50,0,0.1,0.1,147,0.7097438,0.0043786127,7.2604349,0.052812834,1.4476686,0.025474493
50,0,0.1,0.1,148,0.71118255,0.0043961571,7.3090623,0.053168147,1.456413,0.025646192
50,0,0.1,0.1,149,0.71268094,0.0044135634,7.3575865,0.053523164,1.4651513,0.025818063
50,0,0.1,0.1,150,0.71419528,0.0044242757,7.4061803,0.053879915,1.4738898,0.025989966
50,0,0.1,0.1,151,0.71563702,0.0044347842,7.4548033,0.054238697,1.4826277,0.026161802
50,0,0.1,0.1,152,0.71709009,0.0044478656,7.50346,0.054594752,1.4913658,0.026333697
